City_Id,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Windspeed,Date
261,lufilufi,WS,-13.87,-171.6,80.6,88,75,6.93,1607372412
262,lumphat,KH,13.49,106.98,68.77,80,93,3.91,1607372425
263,lynn haven,US,30.25,-85.65,61,41,1,18.34,1607372342
264,mahad,IN,18.08,73.42,71.64,39,0,5.57,1607372422
265,mahanoro,MG,-19.9,48.8,75.74,87,98,3.87,1607372392
266,mahebourg,MU,-20.41,57.7,77,83,40,3.36,1607372172
267,makakilo city,US,21.35,-158.09,80.6,65,1,3.36,1607372374
268,malappuram,IN,11.07,76.07,77,94,75,2.24,1607372441
269,manggar,ID,-2.88,108.27,81.19,81,100,12.66,1607372406
270,manokwari,ID,-0.87,134.08,80.8,75,100,7.09,1607372425
271,manta,EC,-0.95,-80.73,84.2,62,75,8.05,1607372065
272,mantua,IT,45.17,10.78,41,93,8,4,1607372432
273,mar del plata,AR,-38,-57.56,71.6,64,0,19.46,1607372100
274,maragogi,BR,-9.01,-35.22,79.14,69,11,8.79,1607372289
275,margate,GB,51.38,1.39,42.01,90,100,1.01,1607372104
276,marovoay,MG,-16.1,46.63,84.2,79,40,8.05,1607372421
277,marrakesh,MA,31.63,-8.01,55.4,66,0,2.24,1607372316
278,marzuq,YE,14.4,46.47,63.23,68,7,1.05,1607372376
279,masallatah,LY,32.62,14,53.85,42,0,10.71,1607372439
280,matara,LK,5.95,80.54,76.33,86,40,2.37,1607372407
281,mataura,NZ,-46.19,168.86,62.01,70,3,5.01,1607372308
282,mbandaka,CD,0.05,18.26,74.89,80,23,3.18,1607372389
283,meadow lake,US,34.8,-106.54,54,20,20,1.9,1607372354
284,mehamn,NO,71.04,27.85,28.4,86,20,17.22,1607372336
285,merauke,ID,-8.47,140.33,79.79,84,100,10.07,1607372426
286,mercedes,AR,-34.65,-59.43,82,41,0,5.01,1607372409
287,meulaboh,ID,4.14,96.13,76.73,84,100,3.91,1607372384
288,mezhdurechensk,RU,53.69,88.06,7.95,91,98,4.38,1607372305
289,mitzic,GA,0.78,11.55,71.46,92,94,2.84,1607372411
290,moerai,PF,-22.43,-151.33,78.85,81,80,14.03,1607372428
291,mogadishu,SO,2.04,45.34,80.15,78,96,14.27,1607372322
292,mollendo,PE,-17.02,-72.01,69.84,67,61,7.34,1607372389
293,mongo,TD,12.18,18.69,77.16,18,78,3.91,1607372394
294,morant bay,JM,17.88,-76.41,86,70,20,4.7,1607372419
295,morgan city,US,29.7,-91.21,62.01,54,1,12.75,1607372431
296,mount gambier,AU,-37.83,140.77,48.2,81,90,5.82,1607372393
297,mount isa,AU,-20.73,139.5,77,23,74,8.05,1607372389
298,muana,BR,-1.53,-49.22,85.12,73,89,4.63,1607372352
299,mubende,UG,0.56,31.39,62.24,97,25,1.32,1607372372
300,muli,MV,2.92,73.57,82.42,79,0,11.41,1607372360
301,nago,JP,26.59,127.98,69.8,83,90,13.87,1607372298
302,namatanai,PG,-3.67,152.43,80.51,77,48,3.24,1607372393
303,namibe,AO,-15.2,12.15,68.63,70,23,9.48,1607372438
304,nanortalik,GL,60.14,-45.24,29.57,86,100,8.16,1607372309
305,nantucket,US,41.28,-70.1,39.2,60,1,5.82,1607372399
306,naushki,RU,50.38,106.11,-1.77,87,0,3.74,1607372347
307,navahrudak,BY,53.6,25.83,22.5,89,0,19.89,1607372388
308,nelson bay,AU,-32.72,152.15,66,55,75,5.82,1607372364
309,nemuro,JP,43.32,145.57,34.7,82,87,7.25,1607372118
310,nevesinje,BA,43.26,18.11,48.2,87,40,1.12,1607372364
311,new norfolk,AU,-42.78,147.06,48,74,23,1.01,1607372311
